押印,店名,メンバー,住所,営業時間,定休日,備考,リンク
,ゲーマーズ沼津店,津島善子 ,沼津市添地町72青秀ビル1階 ,平日 11:00～20:00 土日祝 10:00～20:00 ,なし ,,https://www.gamers.co.jp/shop/37445/
,安田屋旅館,高海千歌 ,沼津市内浦三津19 ,12:00～20:00 ,不定休 ,,http://mitoyasudaya.com/
,松月,国木田花丸 ,沼津市内浦88-36 ,10:00～17:00 ,火・水曜日 ,,http://www.shougetsu-web.com/
,SUN!SUN!サンシャインCAFE（雄大フェスタ）,黒澤ダイヤ ,沼津市大手町3-1-1 ,平日 11:00～20:30 土日祝 10:00～20:30 ,なし ,,http://www.yudai.co.jp/festa/
,オーシャンビューフジミ,松浦果南 ,沼津市西浦江梨993 ,平日 10:30～14:30 土日祝 10:00～14:30 ,なし ,,http://www.ose-fujimi.com/
,淡島ホテル,小原鞠莉 ,沼津市内浦重寺186 ,9:30～17:00（最終入園15:30） ,なし ,,http://www.awashima.com/
,伊豆三津シーパラダイス,渡辺曜 ,沼津市内浦長浜3-1 ,9:00～17:00（最終入館16:00） ,なし ,,http://www.izuhakone.co.jp/seapara/
,三の浦総合案内所,黒澤ルビィ ,沼津市内浦長浜83-124 ,9:00～16:00  ,なし,,
,千鳥観光汽船㈱,桜内梨子 ,沼津市内浦三津43-7 ,8:00～17:00 ,なし ,,http://www.chidorikanko.co.jp/
,JAなんすん（沼津みなと新鮮館内）,高海千歌 ,沼津市千本港町128-1　沼津みなと新鮮館内 ,9:30～16:30 ,第2第4火曜日 ,,http://www.ja-nansun.or.jp/
,あわしまマリンパーク,松浦果南 ,沼津市内浦重寺186 ,9:30～17:00（最終入園15:30） ,なし ,,http://www.marinepark.jp/
,つじ写真館,津島善子 ,沼津市上土町36 ,平日　9:30～19:00 日祝　9:30～18:00 ,水曜日 ,,http://tsuji-photo.com/
,JEWELRY＆WATCH 市川,黒澤ダイヤ ,沼津市上土町100-1 ,10:00～19:00 ,水曜日 ,,
,浜忠,黒澤ルビィ ,沼津市上土町80 ,昼　11:30～15:00 夜　17:00～22:00 ,月曜日 ,※スタンプ店内設置の為、営業時間内にお越しください ,http://www4.tokai.or.jp/hamatyuu/
,旅館　浜の家,小原鞠莉 ,沼津市内浦三津42-3 ,11:00～15:00 ,なし ,,http://www.ryokan-hamanoya.com/
,マルサン書店,国木田花丸 ,沼津市大手町5-3-13 ,10:00～19:00 ,元旦 ,,http://www.numazu.nu/~marusan/
,仲見世商店街,渡辺曜 ,沼津市大手町5丁目8-1 ,10:00～19:00 ,なし ,,http://n-shopping.jp/
,モスバーガー 富士急沼津店,桜内梨子 ,沼津市大手町3丁目2-1 富士急百貨店1階 ,7:00～22:00 ,なし ,,http://mos.jp/shop/detail/04857/
,セブンイレブン 伊豆・三津シーパラダイス前店,桜内梨子 ,沼津市内浦三津46 ,24時間営業 ,なし ,,
,駿陽荘 やま弥,国木田花丸 ,沼津市西浦平沢92-4 ,9:30～17:00 ,水曜日 ,,http://www.izu-yamaya.jp/
,東海バスオレンジシャトル,高海千歌 ,沼津市大手町1-1-3　沼津商連ビル1F ,平日　9:30～18:00 土曜日　9:30～17:00 ,日曜日・祝日・12/30～1/3 ,※スタンプは東海バストラベル沼津駅前案内所に設置してあります。 ,http://www.tokaibus.jp/
,大瀬館,黒澤ルビィ ,沼津市西浦江梨325-1 ,8:00～18:00 ,なし ,,http://oosekan.jp/
,グランマ,津島善子 ,沼津市上土町63 ,10:00～19:00 ,水曜日 ,,http://www.sweets-grandma.com/
,びゅうお,小原鞠莉 ,沼津市本字千本1905-27 ,10:00～20:00（木曜日は14:00まで） ,なし(施設メンテナンスによる休館あり) ,※スタンプは北側1階チケット販売所に設置してあります。 ,http://www.city.numazu.shizuoka.jp/kankou/sisetu/byuo/
,欧蘭陀館,渡辺曜 ,沼津市下河原町1146-33 ,9:00～21:00 ,月曜日(祝日の場合は翌日) ,,
,伊豆箱根鉄道,松浦果南 ,伊豆の国市南条773-2 ,7:00～19:00 ,なし  ,,http://www.izuhakone.co.jp/railway/station/sunzu09.html/
